Prof Avability,,,,,,,,
,,,,,,,,
,,,,,,,,
Prof Richard Stephens,OK,,OK,,,,,
Prof Judy Ward,,OK,OK,,OK,OK,,OK
Prof Keith Henderson,,,OK,,,OK,,OK
Prof Donna Owens,OK,OK,OK,,OK,OK,OK,OK
Prof Lois Meyer,OK,,,OK,,OK,,OK
Prof Jacqueline Bradley,OK,,OK,,OK,OK,OK,
Prof Kelly Ferguson,,,OK,,,OK,OK,OK
Prof Annie Romero,,,,OK,OK,OK,,OK
Prof Lois Mason,OK,,,OK,OK,,OK,
Prof Steve Garcia,,OK,,OK,OK,,OK,OK
Prof Joyce Vasquez,OK,,,,,OK,,
Prof Katherine Richardson,,,,OK,OK,OK,OK,OK
Prof Johnny Spencer,OK,,OK,OK,OK,OK,OK,OK
Prof Julia Lopez,OK,,OK,,,OK,,
Prof Roger Wright,,,,OK,,OK,OK,OK
Prof Matthew Sims,,OK,,OK,OK,,OK,
Prof Clarence Palmer,,OK,OK,,,,OK,
Prof Kathy Sullivan,OK,OK,,OK,OK,OK,,
Prof Bruce Taylor,OK,OK,OK,,OK,OK,,OK
Prof Samuel Andrews,OK,OK,OK,OK,,,OK,
Prof Philip Hart,,,OK,,OK,OK,,OK
Prof Judy Richards,OK,,OK,OK,OK,OK,OK,OK
Prof Todd Barnes,OK,OK,OK,OK,OK,,OK,OK
Prof Todd Snyder,,OK,OK,,,OK,OK,
Prof Patrick Reyes,,,,,,,OK,
Prof Adam Powell,OK,,OK,,,,,OK
Prof Anna Gordon,,,,OK,OK,,,OK
Prof Robert Butler,,OK,,,OK,OK,,
Prof Samuel Long,OK,,,OK,,,,
Prof Ryan Powell,,,,OK,OK,OK,OK,
Prof David Gordon,OK,,OK,OK,,OK,,
Prof Alan Pierce,OK,,,,OK,,OK,OK
Prof Jerry Reid,OK,OK,OK,,,,OK,
Prof Joseph Bradley,,,,,,,,
Prof Christine Bishop,,,OK,OK,,OK,,OK
Prof Gary Wheeler,,OK,,OK,,,,
Prof Walter Chapman,,OK,OK,,OK,OK,,
Prof Maria Fuller,,,,OK,OK,,OK,
Prof Judy King,,,OK,,,,OK,OK
Prof Stephen Johnston,OK,,,OK,OK,OK,,OK
Prof Gerald Hernandez,OK,OK,OK,OK,,OK,,
Prof Mark Hunt,OK,OK,,OK,,OK,OK,
Prof Wanda Elliott,,OK,OK,OK,OK,OK,,
Prof Patricia Gray,OK,OK,,OK,,,,OK
Prof Walter Griffin,,,OK,,OK,,,OK
Prof Craig Spencer,,,OK,,OK,OK,OK,
Prof Laura Fernandez,,OK,,,,OK,,
Prof Brian Franklin,,OK,OK,,,,,OK
Prof Judy Morales,,OK,,OK,OK,,,OK
Prof Christopher Thompson,,OK,,OK,OK,,,OK
Prof John Hunter,OK,,,OK,OK,OK,OK,OK
Prof Wayne Price,OK,,OK,OK,OK,OK,OK,OK
Prof Rebecca Reynolds,OK,,,OK,,,OK,OK
Prof Harry Anderson,OK,,,OK,,,,OK
Prof Andrew Stanley,OK,,OK,,OK,,,
Prof Randy Thomas,OK,OK,OK,OK,OK,OK,,OK
Prof Susan Howell,,OK,OK,,OK,OK,,OK
Prof Maria Diaz,OK,,,OK,,OK,OK,
Prof Lillian Richards,OK,,,OK,OK,,OK,
Prof Thomas Green,,,,OK,,OK,OK,OK
Prof Edward Johnson,OK,OK,,,OK,OK,OK,OK
Prof Judy Riley,OK,OK,OK,,OK,OK,OK,
Prof Jacqueline Rice,OK,OK,OK,,OK,OK,OK,OK
Prof Louis Sanders,,OK,OK,,OK,OK,,
Prof Elizabeth Taylor,,,,OK,,,OK,
Prof Paul Thomas,,OK,OK,OK,OK,OK,,
Prof Patricia Martinez,OK,OK,,,,,OK,
